[2025-05-27 20:35:30,878: INFO: main: Logging is set up successfully.]
[2025-05-27 22:10:09,628: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-27 22:10:09,650: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-27 22:10:09,653: INFO: common: created directory at: artifacts]
[2025-05-27 22:10:09,657: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-27 22:11:47,894: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-27 22:11:47,898: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-27 22:11:47,902: INFO: common: created directory at: artifacts]
[2025-05-27 22:11:47,905: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-27 22:14:16,095: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-27 22:14:16,096: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-27 22:14:16,099: INFO: common: created directory at: artifacts]
[2025-05-27 22:14:16,101: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-27 22:14:16,104: INFO: 1183596263: Downloading data from https://drive.google.com/file/d/1YjPvyMvL_Ck7AHYv-M6LThGCz9z5T9D7/view?usp=sharing into file artifacts\data_ingestion\data.zip]
[2025-05-27 22:18:40,421: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-27 22:18:40,428: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-27 22:18:40,430: INFO: common: created directory at: artifacts]
[2025-05-27 22:18:40,433: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-27 22:18:40,436: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1YjPvyMvL_Ck7AHYv-M6LThGCz9z5T9D7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-27 22:21:13,286: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1YjPvyMvL_Ck7AHYv-M6LThGCz9z5T9D7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-27 22:50:21,889: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-05-27 22:50:21,892: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-27 22:50:21,894: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-27 22:50:21,895: INFO: common: created directory at: artifacts]
[2025-05-27 22:50:21,895: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-27 22:50:21,896: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1YjPvyMvL_Ck7AHYv-M6LThGCz9z5T9D7/view?usp=sharing into file artifacts/data_ingestion/data.zip]
